sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
ABLG-3990	ABLG-3990	1	ABLG-3990_S77_L001_R1_001.fastq.gz	ABLG-3990_S77_L001_R2_001.fastq.gz	202	202	186	186	186	186	186	186	186
ABLG-4140	ABLG-4140	1	ABLG-4140_S78_L001_R1_001.fastq.gz	ABLG-4140_S78_L001_R2_001.fastq.gz	266	266	242	242	242	242	238	238	238
ABLG-4373	ABLG-4373	1	ABLG-4373_S2_L001_R1_001.fastq.gz	ABLG-4373_S2_L001_R2_001.fastq.gz	299	299	269	269	269	269	252	252	252
ABLG-4378	ABLG-4378	1	ABLG-4378_S3_L001_R1_001.fastq.gz	ABLG-4378_S3_L001_R2_001.fastq.gz	315	315	311	311	311	311	310	310	310
ABLG-4421	ABLG-4421	1	ABLG-4421_S1_L001_R1_001.fastq.gz	ABLG-4421_S1_L001_R2_001.fastq.gz	400	400	369	369	369	369	369	369	369
ABLG-4445	ABLG-4445	1	ABLG-4445_S4_L001_R1_001.fastq.gz	ABLG-4445_S4_L001_R2_001.fastq.gz	166	166	164	164	164	164	161	161	161
ABLG-4474	ABLG-4474	1	ABLG-4474_S5_L001_R1_001.fastq.gz	ABLG-4474_S5_L001_R2_001.fastq.gz	248	248	247	247	246	246	246	246	246
ABLG-4493	ABLG-4493	1	ABLG-4493_S6_L001_R1_001.fastq.gz	ABLG-4493_S6_L001_R2_001.fastq.gz	228	228	224	224	224	224	223	223	223
ABLG-4503	ABLG-4503	1	ABLG-4503_S7_L001_R1_001.fastq.gz	ABLG-4503_S7_L001_R2_001.fastq.gz	208	208	201	201	200	200	198	198	198
ABLG-4570	ABLG-4570	1	ABLG-4570_S9_L001_R1_001.fastq.gz	ABLG-4570_S9_L001_R2_001.fastq.gz	329	329	328	328	327	327	320	320	320
ABLG-4588	ABLG-4588	1	ABLG-4588_S10_L001_R1_001.fastq.gz	ABLG-4588_S10_L001_R2_001.fastq.gz	395	395	393	393	392	392	389	389	389
ABLG-4592	ABLG-4592	1	ABLG-4592_S11_L001_R1_001.fastq.gz	ABLG-4592_S11_L001_R2_001.fastq.gz	295	295	292	292	292	292	292	292	292
ABLG-4601	ABLG-4601	1	ABLG-4601_S12_L001_R1_001.fastq.gz	ABLG-4601_S12_L001_R2_001.fastq.gz	214	214	214	214	214	214	204	204	204
ABLG-4627	ABLG-4627	1	ABLG-4627_S8_L001_R1_001.fastq.gz	ABLG-4627_S8_L001_R2_001.fastq.gz	145	145	144	144	144	144	142	142	142
ABLG-4637	ABLG-4637	1	ABLG-4637_S15_L001_R1_001.fastq.gz	ABLG-4637_S15_L001_R2_001.fastq.gz	172	172	171	171	171	171	163	155	155
ABLG-4657	ABLG-4657	1	ABLG-4657_S16_L001_R1_001.fastq.gz	ABLG-4657_S16_L001_R2_001.fastq.gz	300	300	299	299	299	299	254	237	237
ABLG-4659	ABLG-4659	1	ABLG-4659_S14_L001_R1_001.fastq.gz	ABLG-4659_S14_L001_R2_001.fastq.gz	110	110	110	110	110	110	105	105	105
ABLG-4670	ABLG-4670	1	ABLG-4670_S17_L001_R1_001.fastq.gz	ABLG-4670_S17_L001_R2_001.fastq.gz	346	346	345	345	345	345	344	344	344
